Male - Midstream Urine - 11580,Female - Midstream Urine - 26344,Male - Indwelling Catheter - 5383,Female - Indwelling Catheter - 4677,Male - Intermittent Catheter - 4269,Female - Intermittent Catheter - 4828
31.43,19.26,41.15,39.78,32.97,36.821
31.48,19.26,41.18499,39.81,32.98,36.82598
31.52,19.26,41.3,39.84,33.001,36.83
31.52,19.27,41.31,39.84,33.007,36.86
31.54,19.28,41.45,39.87,33.01233,36.867
31.55,19.28,41.49,39.91,33.03,36.94
31.58,19.28,41.52,39.91,33.053,36.98
31.6,19.29,41.54,39.92,33.06489,37
31.6,19.3,41.55,39.92,33.08,37.03
31.68,19.3,41.6,39.95,33.10275,37.04
31.7,19.31,41.63,39.95,33.12,37.05
31.71,19.31,41.64,39.98,33.125,37.051
31.72,19.32,41.71,40.02,33.143,37.1
31.73,19.32,41.76,40.04,33.15,37.11
31.73,19.32,41.77,40.06,33.17,37.16
31.73,19.33,41.78,40.14,33.24,37.18
31.77,19.33,41.79,40.15,33.24,37.18
31.8,19.34,41.81,40.16,33.25911,37.188
31.83,19.34,41.81,40.17,33.26,37.19
31.91,19.34,41.86,40.18,33.26,37.218
31.93,19.34,41.87312,40.2,33.267,37.22
31.96,19.34,41.91,40.21,33.278,37.31
31.97,19.34,41.96,40.28,33.28,37.34
31.97,19.34,41.97,40.32,33.355,37.366
32.02,19.34,41.99,40.44,33.358,37.369
32.03,19.35,42,40.51914,33.38,37.37
32.04,19.35,42,40.6,33.39,37.41
32.06,19.36,42.09,40.72,33.467,37.42
32.06,19.36,42.12,40.75,33.47,37.46
32.06,19.36,42.12,40.87,33.47,37.484
32.09,19.37,42.12,40.94,33.481,37.484
32.09,19.37,42.14,40.94,33.59,37.52
32.09,19.38,42.16,40.95,33.638,37.56
32.13,19.39,42.16,41.01,33.65,37.61
32.14,19.4,42.17,41.04,33.66,37.615
32.14,19.4,42.19,41.04,33.66,37.629
32.15,19.4,42.2,41.11,33.69,37.63
32.17,19.41,42.2,41.2,33.7,37.70266
32.19,19.41,42.21,41.3,33.73,37.70546
32.21283,19.42,42.21,41.36,33.77,37.73
32.22,19.42,42.22,41.55,33.823,37.782
32.23658,19.42,42.23,41.63,33.83,37.79
32.25,19.42,42.2671,41.64,33.85619,37.796
32.25,19.43,42.3438,41.72,33.86,37.81
32.31,19.43,42.48,41.73,33.86,37.81
32.35,19.43,42.51,41.76,33.89,37.83
32.37,19.44,42.54,41.76,33.91,37.842
32.37,19.44,42.59,41.87,33.92,37.85
32.4,19.45,42.64,42.05,33.94656,37.87
32.41,19.45,42.67,42.06,33.98,37.875
32.41,19.45,42.7,42.13,33.99,37.876
32.43,19.46,42.72,42.17,34.02,37.88629
